Código gran área;Gran área;Código área;Área;Código disciplina;Disciplina
3.;Ciencias médicas y de la salud;3.B.;Medicina clínica;3B09;3B09 Anestesiología
3.;Ciencias médicas y de la salud;3.B.;Medicina clínica;3B10;3B10 Ortopédica
3.;Ciencias médicas y de la salud;3.B.;Medicina clínica;3B11;3B11 Cirugía
3.;Ciencias médicas y de la salud;3.B.;Medicina clínica;3B12;3B12 Radiología, medicina nuclear y de imágenes
3.;Ciencias médicas y de la salud;3.B.;Medicina clínica;3B13;3B13 Trasplantes
3.;Ciencias médicas y de la salud;3.B.;Medicina clínica;3B14;3B14 Odontología, cirugía oral y medicina oral
3.;Ciencias médicas y de la salud;3.B.;Medicina clínica;3B15;3B15 Dermatología y enfermedades venéreas
3.;Ciencias médicas y de la salud;3.B.;Medicina clínica;3B16;3B16 Alergias
3.;Ciencias médicas y de la salud;3.B.;Medicina clínica;3B17;3B17 Reumatología
3.;Ciencias médicas y de la salud;3.B.;Medicina clínica;3B18;3B18 Endocrinología y metabolismo (incluye diabetes y trastornos hormonales)
3.;Ciencias médicas y de la salud;3.B.;Medicina clínica;3B19;3B19 Gastroenterología y hepatología
3.;Ciencias médicas y de la salud;3.B.;Medicina clínica;3B20;3B20 Urología y nefrología
3.;Ciencias médicas y de la salud;3.B.;Medicina clínica;3B21;3B21 Oncología
3.;Ciencias médicas y de la salud;3.B.;Medicina clínica;3B22;3B22 Oftalmología
3.;Ciencias médicas y de la salud;3.B.;Medicina clínica;3B23;3B23 Otorrinolaringología
3.;Ciencias médicas y de la salud;3.B.;Medicina clínica;3B24;3B24 Psiquiatría
3.;Ciencias médicas y de la salud;3.B.;Medicina clínica;3B25;3B25 Neurología clínica
3.;Ciencias médicas y de la salud;3.B.;Medicina clínica;3B26;3B26 Geriatría
3.;Ciencias médicas y de la salud;3.B.;Medicina clínica;3B27;3B27 Medicina general e interna
3.;Ciencias médicas y de la salud;3.B.;Medicina clínica;3B28;3B28 Otros temas de medicina clínica
3.;Ciencias médicas y de la salud;3.B.;Medicina clínica;3B29;3B29 Medicina complementaria (sistemas alternativos)
3.;Ciencias médicas y de la salud;3.C.;Ciencias de la salud;3C01;3C01 Ciencias del cuidado de la salud y servicios (administración de hospitales, financiamiento)
3.;Ciencias médicas y de la salud;3.C.;Ciencias de la salud;3C02;3C02 Políticas de salud y servicios
3.;Ciencias médicas y de la salud;3.C.;Ciencias de la salud;3C03;3C03 Enfermería
3.;Ciencias médicas y de la salud;3.C.;Ciencias de la salud;3C04;3C04 Nutrición y dietas
3.;Ciencias médicas y de la salud;3.C.;Ciencias de la salud;3C05;3C05 Salud pública
3.;Ciencias médicas y de la salud;3.C.;Ciencias de la salud;3C06;3C06 Medicina tropical
3.;Ciencias médicas y de la salud;3.C.;Ciencias de la salud;3C07;3C07 Parasitología
3.;Ciencias médicas y de la salud;3.C.;Ciencias de la salud;3C08;3C08 Enfermedades infecciosas
3.;Ciencias médicas y de la salud;3.C.;Ciencias de la salud;3C09;3C09 Epidemiología
3.;Ciencias médicas y de la salud;3.C.;Ciencias de la salud;3C10;3C10 Salud ocupacional
3.;Ciencias médicas y de la salud;3.C.;Ciencias de la salud;3C11;3C11 Ciencias del deporte
3.;Ciencias médicas y de la salud;3.C.;Ciencias de la salud;3C12;3C12 Ciencias socio biomédicas (planificación familiar, salud sexual, efectos políticos y sociales de la investigación biomédica)
3.;Ciencias médicas y de la salud;3.C.;Ciencias de la salud;3C13;3C13 Ética
3.;Ciencias médicas y de la salud;3.C.;Ciencias de la salud;3C14;3C14 Abuso de substancias
3.;Ciencias médicas y de la salud;3.D.;Biotecnología en salud;3D01;3D01 Biotecnología relacionada con la salud
3.;Ciencias médicas y de la salud;3.D.;Biotecnología en salud;3D02;3D02 Tecnologías para la manipulación de células, tejidos, órganos o el organismo (reproducción asistida)
3.;Ciencias médicas y de la salud;3.D.;Biotecnología en salud;3D03;3D03 Tecnología para la identificación y funcionamiento del ADN, proteínas y encimas y como influencian la enfermedad)
3.;Ciencias médicas y de la salud;3.D.;Biotecnología en salud;3D04;3D04 Biomateriales (relacionados con implantes, dispositivos,
3.;Ciencias médicas y de la salud;3.D.;Biotecnología en salud;3D05;3D05 Ética relacionada con la biomedicina
3.;Ciencias médicas y de la salud;3.E.;Otras ciencias médicas;3E01;3E01 Forénsicas
3.;Ciencias médicas y de la salud;3.E.;Otras ciencias médicas;3E02;3E02 Otras ciencias médicas
3.;Ciencias médicas y de la salud;3.E.;Otras ciencias médicas;3E03;3E03 Fonoaudiología
4.;Ciencias agrícolas;4.A.;Agricultura, silvicultura y pesca;4A01;4A01 Agricultura
4.;Ciencias agrícolas;4.A.;Agricultura, silvicultura y pesca;4A02;4A02 Forestal
4.;Ciencias agrícolas;4.A.;Agricultura, silvicultura y pesca;4A03;4A03 Pesca
4.;Ciencias agrícolas;4.A.;Agricultura, silvicultura y pesca;4A04;4A04 Ciencias del suelo
4.;Ciencias agrícolas;4.A.;Agricultura, silvicultura y pesca;4A05;4A05 Horticultura y viticultura
4.;Ciencias agrícolas;4.A.;Agricultura, silvicultura y pesca;4A06;4A06 Agronomía
4.;Ciencias agrícolas;4.A.;Agricultura, silvicultura y pesca;4A07;4A07 Protección y nutrición de las plantas (biotecnología agrícola
4.;Ciencias agrícolas;4.B.;Ciencias animales y lechería;4B01;4B01 Ciencias animales y lechería (biotecnología animal en 4.D)
4.;Ciencias agrícolas;4.B.;Ciencias animales y lechería;4B02;4B02 Crías y mascotas
4.;Ciencias agrícolas;4.C.;Ciencias;4C01;4C01 Ciencias Veterinarias
4.;Ciencias agrícolas;4.D.;Biotecnología agrícola;4D01;4D01 Biotecnología agrícola y de alimentos
4.;Ciencias agrícolas;4.D.;Biotecnología agrícola;4D02;"4D02 Tecnología MG (sembradíos y ganado), clonamiento de
ganado, selección asistida, diagnóstico (con chips ADN, biosensores)."
4.;Ciencias agrícolas;4.D.;Biotecnología agrícola;4D03;4D03 Ética relacionada a biotecnología agrícola
4.;Ciencias agrícolas;4.E.;Otras ciencias;4E01;4E01 Otras ciencias Agrícolas
5.;Ciencias sociales;5.A.;Psicología;5A01;5A01 Psicología (incluye relaciones hombre-máquina)
5.;Ciencias sociales;5.A.;Psicología;5A02;5A02 Psicología (incluye terapias de aprendizaje, habla, visual y
5.;Ciencias sociales;5.B.;Economía y negocios;5B01;5B01 Economía
5.;Ciencias sociales;5.B.;Economía y negocios;5B02;5B02 Econometría
